id,user_id,created_at,updated_at,factor_id,aal,not_after,refreshed_at,user_agent,ip,tag,oauth_client_id,refresh_token_hmac_key,refresh_token_counter,scopes
ec3f7bc3-4e4b-45be-aba1-e34995dd529d,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 15:17:47 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 15:17:47 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36,149.102.251.99,,,,,
f0e12675-6cfc-4b4c-be1d-d1f3e491b259,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 15:17:56 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 15:17:56 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36,149.102.251.99,,,,,
35577a4f-ba3e-4b30-b382-43d618248ceb,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 15:18:22 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 15:18:22 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Mobile/15E148 Safari/604.1,149.102.251.99,,,,,
64284995-f36d-47e9-83f7-e7d171f4dc6c,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 15:18:26 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 15:18:26 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Mobile/15E148 Safari/604.1,149.102.251.99,,,,,
99748e87-2b1b-44de-ac72-f7c6d343706c,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 15:18:30 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 15:18:30 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Mobile/15E148 Safari/604.1,149.102.251.99,,,,,
32a57c5c-aa83-4501-9031-f61c136a683f,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 16:46:04 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 16:46:04 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36,149.102.251.99,,,,,
22e93fc4-ca04-4cbb-bc3c-67041612ec40,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 16:46:15 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 16:46:15 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36,149.102.251.99,,,,,
9bdbcadb-ade3-46a1-bd3d-01bdeb483a5f,5ebe247c-413e-4b80-8de2-848f74944d8e,Mon Feb 16 2026 16:16:15 GMT-0400 (Horário Padrão do Amazonas),Mon Feb 16 2026 16:16:15 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.6 Safari/537.36,149.102.251.98,,,,,
8130feaf-625c-4ac3-9c76-1ca1a8746aa0,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 16:46:33 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 16:46:33 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Mobile/15E148 Safari/604.1,149.102.251.99,,,,,
90ea96e5-187b-4355-b104-57708d04bd4f,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 16:46:38 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 16:46:38 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Mobile/15E148 Safari/604.1,149.102.251.99,,,,,
2adeaacd-b57c-41f0-835c-e600dc7a274d,6e0d252b-a959-4eca-b91e-bc1f097387cf,Fri Mar 06 2026 16:46:42 GMT-0400 (Horário Padrão do Amazonas),Fri Mar 06 2026 16:46:42 GMT-0400 (Horário Padrão do Amazonas),,aal1,,,Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.0 Mobile/15E148 Safari/604.1,149.102.251.99,,,,,
